paciente_id,sucursal,especie,raza_registrada,edad_mascota_anios,tipo_atencion,diagnostico_texto,medico_id,monto_cobrado,costo_medicamento,dias_desde_ultima_visita,visitas_historicas,tiene_vacunas_al_dia,retorno_90d
PAC_00067,San_Miguel,gato,1,12.1,cirugía,fractura_c,VET_14,262000,87800.0,38,1,1,0
PAC_00068,Las_Condes,perro,1,4.9,venta_producto,artrítís,VET_10,14800,2200.0,108,4,1,0
PAC_00069,Ñuñoa,exótico,1,2.0,consulta_general,otítís,VET_08,37300,4400.0,62,5,0,1
PAC_00070,La_Florida,gato,1,4.9,consulta_general,otitis_c,VET_01,17800,1900.0,213,8,1,1
PAC_00071,Ñuñoa,exótico,0,1.3,consulta_general,gastroenterítís,VET_14,52600,4700.0,63,2,0,1
PAC_00072,La_Florida,perro,0,7.3,consulta_general,Control_rutina,VET_07,37700,3700.0,9,5,1,1
PAC_00073,Ñuñoa,perro,1,2.2,venta_producto,control_rutina_c,VET_06,35300,9400.0,66,4,1,1
PAC_00074,Providencia,perro,1,2.0,consulta_general,Control_rutina,VET_14,37500,11600.0,52,5,1,1
PAC_00075,Maipú,perro,1,3.4,venta_producto,fractura,VET_12,32500,5500.0,15,1,0,0
PAC_00076,Las_Condes,gato,0,9.9,consulta_general,Control_rutina,VET_22,27700,3400.0,12,1,1,1
PAC_01001,Las_Condes,gato,0,1.8,cirugía,control_rutina_c,VET_19,284100,82300.0,141,6,1,0
PAC_00078,Pudahuel,perro,1,5.1,cirugía,tumor,VET_10,366000,87100.0,30,1,1,1
PAC_00019,Pudahuel,perro,1,0.8,consulta_especialidad,GASTROENTERITIS,VET_15,60100,17000.0,153,4,1,0
PAC_00080,Providencia,exótico,1,3.1,consulta_especialidad,OTITIS,VET_10,63800,15600.0,41,4,0,0
PAC_00081,San_Miguel,exótico,1,12.6,consulta_general,control_rutina,VET_17,46600,5300.0,29,1,1,1
PAC_00082,Pudahuel,gato,1,1.8,consulta_general,OTITIS,VET_14,41900,5900.0,76,2,1,1
PAC_00083,San_Miguel,perro,0,1.3,venta_producto,diabetes,VET_23,29800,8500.0,10,4,1,1
PAC_00084,Providencia,exótico,0,4.4,consulta_general,gastroenterítís,VET_17,32300,4900.0,16,4,1,1
PAC_00085,Las_Condes,gato,1,3.3,consulta_general,Dermatitis,VET_15,30400,9500.0,122,3,1,0
PAC_00086,Providencia,gato,1,1.1,consulta_general,control_rutina_c,VET_05,40000,12200.0,78,6,0,1
PAC_00087,Pudahuel,exótico,0,6.2,cirugía,fractura,VET_03,171600,34800.0,51,6,1,1
PAC_00088,San_Miguel,ave,1,0.6,consulta_especialidad,dermatítís,VET_17,60800,11100.0,357,2,1,0
PAC_00089,Las_Condes,gato,1,0.5,consulta_especialidad,OTITIS,VET_19,68400,6700.0,90,3,0,0
PAC_00090,La_Florida,perro,0,0.7,consulta_general,parvovirus_c,VET_16,25800,7300.0,20,7,0,1
PAC_00091,Peñalolén,perro,1,3.1,consulta_general,parvovirus_c,VET_11,35200,10400.0,62,5,1,1
PAC_00092,Maipú,perro,1,3.6,consulta_general,Dermatitis,VET_22,33200,9500.0,52,3,0,1
PAC_00093,Las_Condes,gato,0,4.2,venta_producto,Tumor,VET_09,34400,4300.0,112,3,0,0
PAC_00094,La_Florida,gato,0,8.6,cirugía,OTITIS,VET_22,219100,39500.0,214,5,0,0
PAC_00095,Peñalolén,perro,1,1.4,consulta_especialidad,tumor,VET_04,70800,17100.0,13,7,1,1
PAC_00096,Peñalolén,gato,1,3.4,consulta_general,artritis_c,VET_14,47700,12500.0,80,7,0,1
PAC_00097,Maipú,gato,0,3.8,hospitalización,Dermatitis,VET_09,158900,29800.0,38,3,1,1
PAC_00098,San_Miguel,perro,1,0.8,hospitalización,Parvovirus,VET_21,233000,24000.0,45,4,1,1
PAC_00099,Providencia,perro,1,0.8,consulta_general,gastroenteritis_c,VET_10,27400,5100.0,123,3,0,0
PAC_00100,Peñalolén,perro,0,1.9,cirugía,diabetes,VET_07,339300,117100.0,91,5,1,0
PAC_00101,Providencia,perro,1,0.7,hospitalización,CONTROL_RUTINA,VET_02,180500,24300.0,201,4,1,0
PAC_00102,Peñalolén,ave,1,1.2,consulta_especialidad,otitis,VET_08,88700,18200.0,49,1,0,0
PAC_00103,Ñuñoa,perro,1,14.2,consulta_general,control_rutína,VET_11,19000,2700.0,106,1,1,0
PAC_00104,Providencia,gato,1,0.2,consulta_especialidad,CONTROL_RUTINA,VET_10,42900,12400.0,159,4,1,0
PAC_00105,Maipú,ave,0,13.2,consulta_general,control_rutina,VET_21,31900,9000.0,97,5,0,1
PAC_00106,Maipú,perro,1,18.0,consulta_general,diabetes_c,VET_12,28300,8000.0,92,2,0,0
PAC_00107,Maipú,perro,0,3.0,consulta_general,control_rutina,VET_02,32000,4500.0,268,6,1,0
PAC_00108,La_Florida,gato,0,3.1,consulta_especialidad,Esterilización,VET_16,54800,15700.0,28,1,1,0
PAC_00109,Ñuñoa,perro,0,18.0,consulta_general,ARTRITIS,VET_02,56500,12200.0,207,5,1,0
PAC_01242,San_Miguel,gato,0,3.6,consulta_general,esterilización,VET_22,32400,3100.0,36,4,0,1
PAC_00111,Maipú,gato,1,1.7,consulta_general,CONTROL_RUTINA,VET_14,40100,12600.0,397,3,0,0
PAC_00112,Ñuñoa,perro,1,0.6,consulta_especialidad,control_rutina_c,VET_08,63500,21700.0,31,3,1,1
PAC_00113,Maipú,gato,1,3.8,cirugía,gastroenteritis_c,VET_21,281600,35900.0,57,9,0,1
PAC_00114,Peñalolén,perro,1,16.2,consulta_general,control_rutina,VET_10,37600,9300.0,27,3,1,1
PAC_00115,Las_Condes,gato,1,10.0,consulta_general,díabetes,VET_08,34000,3800.0,82,8,0,1
PAC_00116,Ñuñoa,ave,1,7.5,consulta_especialidad,GASTROENTERITIS,VET_14,42900,7200.0,17,2,1,1
PAC_00117,Las_Condes,perro,1,2.8,venta_producto,Tumor,VET_14,24600,4000.0,83,7,1,1
PAC_00118,Peñalolén,gato,1,9.8,consulta_especialidad,DERMATITIS,VET_14,78300,18500.0,16,4,1,1
PAC_00119,Maipú,perro,0,1.8,consulta_general,control_rutina_c,VET_17,33100,11200.0,3,2,0,1
PAC_00120,Maipú,gato,1,0.3,cirugía,dermatítís,VET_02,193200,34300.0,155,6,0,0
PAC_00121,La_Florida,exótico,1,0.4,consulta_especialidad,DERMATITIS,VET_23,71600,18100.0,136,7,0,0
PAC_00122,Las_Condes,gato,0,14.7,consulta_especialidad,otítís,VET_22,55900,18700.0,30,3,1,0
PAC_00439,Peñalolén,perro,0,2.8,consulta_general,TUMOR,VET_02,27300,8400.0,197,6,1,0
PAC_00124,San_Miguel,perro,1,18.0,consulta_general,gastroenterítís,VET_18,46400,12900.0,2,9,0,1
PAC_00125,San_Miguel,perro,0,7.3,consulta_especialidad,Dermatitis,VET_13,71300,11300.0,49,3,1,1
PAC_00126,Providencia,perro,1,6.9,consulta_general,control_rutina_c,VET_02,37700,9200.0,69,7,1,1
PAC_00127,Providencia,gato,0,7.8,consulta_general,gastroenteritis_c,VET_19,43300,6300.0,173,4,1,0
PAC_00128,Ñuñoa,perro,1,0.1,hospitalización,GASTROENTERITIS,VET_14,73200,17600.0,19,6,1,1
PAC_00129,Peñalolén,perro,0,0.1,venta_producto,CONTROL_RUTINA,VET_01,25100,6800.0,100,3,0,0
PAC_00130,Providencia,exótico,1,9.1,consulta_especialidad,artritis_c,VET_03,71800,16100.0,111,4,1,0
PAC_00131,La_Florida,gato,0,0.6,consulta_general,DERMATITIS,VET_20,31900,5400.0,15,3,0,1
PAC_00132,Pudahuel,gato,1,0.6,consulta_especialidad,Gastroenteritis,VET_01,58300,9500.0,95,2,1,1
PAC_00133,Pudahuel,perro,1,2.0,consulta_general,dermatítís,VET_15,36900,8000.0,139,1,1,0
PAC_00134,La_Florida,perro,1,3.8,consulta_general,TUMOR,VET_17,45000,12700.0,22,5,1,1
PAC_00135,La_Florida,perro,1,0.8,cirugía,artritis,VET_22,81600,19800.0,29,4,1,1
PAC_00136,Maipú,perro,1,5.1,consulta_general,Gastroenteritis,VET_17,46700,9600.0,8,2,0,1
PAC_00137,Providencia,perro,1,1.9,hospitalización,tumor,VET_23,179700,58600.0,5,1,0,0
PAC_00138,Providencia,gato,1,0.6,consulta_general,control_rutina_c,VET_06,47100,7100.0,76,4,0,1
PAC_00545,Providencia,perro,1,2.0,consulta_general,gastroenterítís,VET_19,34400,7300.0,18,4,1,1
PAC_00953,Maipú,perro,1,3.4,consulta_general,Control_rutina,VET_09,43700,4400.0,23,7,1,1
PAC_00141,Providencia,ave,0,3.3,hospitalización,FRACTURA,VET_04,171500,30500.0,46,1,0,0
PAC_00142,Providencia,ave,1,4.4,consulta_general,Esterilización,VET_10,43500,14200.0,26,3,0,1
PAC_00143,Las_Condes,perro,1,0.8,venta_producto,esterílízacíón,VET_03,39800,9200.0,137,4,0,0
PAC_00144,San_Miguel,perro,1,2.9,venta_producto,parvovirus_c,VET_12,19700,1900.0,36,4,0,0
PAC_00145,Providencia,gato,1,1.1,hospitalización,DIABETES,VET_21,180100,41500.0,25,4,0,1
PAC_00146,La_Florida,gato,1,1.9,consulta_general,tumor,VET_06,25600,7000.0,309,2,1,0
PAC_00147,Pudahuel,gato,1,0.1,consulta_especialidad,GASTROENTERITIS,VET_16,58800,5000.0,27,4,1,1
PAC_00148,Maipú,perro,1,8.1,consulta_especialidad,fractura,VET_03,93400,15900.0,26,3,0,1
PAC_00149,Maipú,perro,1,11.7,venta_producto,TUMOR,VET_09,5000,1700.0,105,5,1,1
PAC_00150,Pudahuel,ave,1,0.7,venta_producto,control_rutina,VET_16,31900,3600.0,150,3,1,0
PAC_00151,Las_Condes,gato,1,2.2,cirugía,fractura,VET_12,312100,69700.0,39,8,0,1
PAC_00152,Peñalolén,perro,1,13.2,consulta_general,parvovirus,VET_15,26800,2200.0,9,7,1,1
PAC_01244,Las_Condes,perro,0,1.7,consulta_general,esterílízacíón,VET_22,24000,5200.0,16,3,1,1
PAC_00154,Maipú,perro,1,5.0,hospitalización,Gastroenteritis,VET_05,172400,,33,3,1,1
PAC_00155,Pudahuel,gato,1,1.8,consulta_general,dermatitis,VET_08,28400,6300.0,9,5,1,1
PAC_00156,Pudahuel,perro,1,2.5,cirugía,control_rutína,VET_08,281100,91300.0,8,3,1,1
PAC_00157,La_Florida,perro,0,6.5,hospitalización,control_rutina,VET_06,203000,46600.0,275,1,1,0
PAC_00158,Peñalolén,ave,0,0.3,hospitalización,dermatitis_c,VET_10,208500,,104,1,0,0
PAC_00159,Las_Condes,gato,1,4.0,venta_producto,Control_rutina,VET_06,33700,5400.0,42,5,1,1
PAC_00160,Las_Condes,ave,1,1.9,consulta_general,esterilización,VET_18,28500,4900.0,80,3,1,0
PAC_00161,Las_Condes,gato,1,9.2,consulta_especialidad,CONTROL_RUTINA,VET_01,73600,6400.0,39,6,1,1
PAC_00162,Ñuñoa,exótico,1,2.8,consulta_especialidad,dermatitis,VET_15,60600,11100.0,159,3,1,0
PAC_00163,Peñalolén,perro,1,2.5,consulta_especialidad,esterilización_c,VET_08,69000,15600.0,72,3,1,0
PAC_00164,Maipú,perro,1,2.5,consulta_general,GASTROENTERITIS,VET_01,24900,4800.0,138,3,0,0
PAC_00165,Providencia,perro,0,0.6,consulta_general,Gastroenteritis,VET_20,37700,3700.0,48,3,1,1
PAC_00166,San_Miguel,perro,1,3.9,consulta_general,diabetes,VET_22,29800,8600.0,118,5,0,0
PAC_00167,Las_Condes,perro,0,5.5,venta_producto,artritis,VET_21,30300,5800.0,14,3,0,1
PAC_00168,San_Miguel,perro,0,3.4,hospitalización,parvovírus,VET_10,226400,,265,4,0,0
PAC_00169,La_Florida,gato,1,13.2,consulta_general,Control_rutina,VET_01,44100,5700.0,5,3,1,1
PAC_00170,Ñuñoa,perro,1,5.6,cirugía,Diabetes,VET_11,256400,60800.0,48,2,1,0
PAC_00168,Maipú,perro,1,2.6,consulta_especialidad,Fractura,VET_04,57800,6500.0,41,6,1,1
PAC_00172,Peñalolén,perro,0,0.3,consulta_especialidad,PARVOVIRUS,VET_09,61100,18800.0,19,3,0,0
PAC_00173,Las_Condes,gato,1,7.9,consulta_especialidad,control_rutína,VET_04,72200,21400.0,540,5,1,0
PAC_00174,Providencia,perro,0,7.7,consulta_general,gastroenterítís,VET_23,24100,6500.0,64,3,0,1
PAC_01014,San_Miguel,perro,1,13.5,consulta_general,control_rutina_c,VET_21,36800,8800.0,258,5,1,0
PAC_00176,San_Miguel,gato,0,1.3,consulta_general,control_rutina_c,VET_20,39300,5600.0,55,7,1,1
PAC_00177,Maipú,perro,1,1.9,hospitalización,Fractura,VET_11,170300,38300.0,86,6,0,0
PAC_00178,Peñalolén,gato,1,0.5,consulta_general,control_rutína,VET_05,30300,4900.0,277,4,1,0
PAC_00179,Las_Condes,ave,1,1.8,cirugía,tumor,VET_21,278600,87500.0,121,3,1,0
PAC_00180,Providencia,perro,0,6.4,cirugía,gastroenterítís,VET_20,304200,67700.0,89,6,0,1
PAC_00181,Providencia,perro,0,3.4,consulta_especialidad,esterilización,VET_05,84100,20600.0,136,7,0,0
PAC_00182,Las_Condes,perro,1,6.3,venta_producto,esterilización,VET_05,34800,4000.0,27,5,1,1
PAC_00183,Pudahuel,perro,1,1.3,consulta_general,gastroenteritis,VET_11,23500,7900.0,14,3,0,1
PAC_00184,Peñalolén,gato,1,0.1,consulta_general,otitis_c,VET_10,48400,10400.0,24,6,0,1
PAC_00185,Las_Condes,perro,1,17.6,consulta_especialidad,esterilización,VET_21,53000,12100.0,35,8,0,1
PAC_00186,Las_Condes,perro,0,0.3,cirugía,Artritis,VET_03,463100,128000.0,24,5,1,1
PAC_00187,Providencia,perro,0,12.1,hospitalización,Esterilización,VET_05,255000,28900.0,256,3,1,0
PAC_00188,Peñalolén,ave,1,0.9,consulta_general,dermatitis,VET_13,34200,5400.0,136,2,0,0
PAC_00189,Maipú,gato,0,5.3,consulta_general,CONTROL_RUTINA,VET_14,34400,7800.0,12,8,0,1
PAC_00190,San_Miguel,perro,1,9.5,consulta_general,ARTRITIS,VET_11,24900,2900.0,146,7,0,0
PAC_00191,Providencia,perro,1,3.5,cirugía,control_rutína,VET_04,271600,70000.0,111,5,0,0
PAC_00192,Las_Condes,gato,1,6.2,consulta_general,Diabetes,VET_12,40200,9000.0,113,4,0,0
PAC_00193,Las_Condes,exótico,1,17.5,venta_producto,Control_rutina,VET_12,24600,6100.0,103,4,1,0
PAC_00194,Peñalolén,perro,1,2.0,consulta_general,DIABETES,VET_02,45700,5500.0,1,4,0,1
PAC_00195,La_Florida,gato,0,12.0,venta_producto,dermatitis_c,VET_04,28600,6200.0,68,3,1,0
PAC_00196,Las_Condes,perro,1,12.6,consulta_general,control_rutina,VET_10,39200,12800.0,53,6,0,1
PAC_00197,Providencia,gato,1,0.9,consulta_general,parvovirus_c,VET_03,27500,5900.0,259,5,0,0
PAC_00198,Providencia,gato,1,2.0,hospitalización,artrítís,VET_18,92900,17200.0,7,3,1,1
PAC_00199,Las_Condes,perro,1,1.9,consulta_general,GASTROENTERITIS,VET_11,46500,11000.0,49,5,1,1
PAC_01153,Providencia,gato,1,11.1,consulta_general,ESTERILIZACIÓN,VET_14,34500,3500.0,23,3,0,1
PAC_00201,Pudahuel,perro,1,4.7,consulta_general,Control_rutina,VET_17,20900,6700.0,150,2,1,0
PAC_00202,Las_Condes,ave,1,0.3,consulta_general,control_rutína,VET_07,23000,7000.0,51,4,0,0
PAC_00203,Providencia,perro,0,1.1,consulta_general,Gastroenteritis,VET_02,40700,5100.0,40,1,1,1
PAC_01150,Las_Condes,perro,1,0.5,venta_producto,Control_rutina,VET_03,42400,4800.0,82,5,1,1
PAC_00205,San_Miguel,perro,1,6.7,consulta_general,control_rutina,VET_09,36500,5700.0,27,3,0,1
PAC_00206,San_Miguel,gato,1,5.7,venta_producto,DIABETES,VET_07,29300,6800.0,33,4,0,0
PAC_00207,Providencia,perro,1,0.5,consulta_general,gastroenteritis_c,VET_17,41900,4300.0,14,7,0,1
PAC_00208,Pudahuel,perro,0,0.2,venta_producto,fractura,VET_19,31800,3100.0,37,6,0,1
PAC_00209,San_Miguel,gato,1,3.6,consulta_general,tumor,VET_10,29400,9700.0,50,1,0,0
PAC_00210,La_Florida,perro,1,10.9,hospitalización,dermatítís,VET_04,195100,19400.0,91,5,1,0
PAC_00211,La_Florida,perro,1,1.9,consulta_general,dermatítís,VET_02,25300,2600.0,246,10,1,1
PAC_00212,La_Florida,perro,1,5.6,consulta_especialidad,FRACTURA,VET_13,89000,17600.0,41,2,0,0
PAC_00616,Providencia,perro,0,2.3,consulta_general,Control_rutina,VET_05,39100,4600.0,11,7,0,1
PAC_00214,Las_Condes,perro,1,4.3,consulta_general,TUMOR,VET_06,41500,13600.0,189,4,0,0
PAC_00215,Ñuñoa,perro,1,3.0,consulta_especialidad,CONTROL_RUTINA,VET_23,49400,16800.0,143,2,1,0
PAC_00216,Ñuñoa,gato,1,0.6,venta_producto,otítís,VET_20,36600,9200.0,172,3,1,0
PAC_00217,Ñuñoa,perro,1,0.6,consulta_general,gastroenteritis,VET_17,47300,15600.0,28,7,1,1
PAC_00218,Las_Condes,ave,1,3.9,consulta_general,tumor_c,VET_13,25700,6500.0,52,2,1,1
PAC_00219,Providencia,perro,0,1.3,cirugía,Control_rutina,VET_09,288400,34500.0,24,2,1,1
PAC_00220,Providencia,perro,1,6.4,consulta_general,esterilización_c,VET_14,37100,5300.0,31,4,0,1
PAC_00197,San_Miguel,perro,1,4.6,consulta_especialidad,control_rutina_c,VET_23,46400,6400.0,237,5,1,0
PAC_00124,Pudahuel,perro,1,6.2,consulta_general,Tumor,VET_05,19800,6000.0,131,5,0,1
PAC_00223,Maipú,perro,1,5.5,cirugía,gastroenteritis_c,VET_13,393800,81500.0,41,6,1,1
PAC_00224,Providencia,perro,1,15.9,consulta_general,dermatitis_c,VET_03,33300,2900.0,12,8,0,1
PAC_00225,Las_Condes,gato,0,0.4,consulta_especialidad,control_rutina_c,VET_01,49700,17100.0,7,1,0,0
PAC_00226,Ñuñoa,perro,1,2.6,consulta_especialidad,fractura,VET_18,42600,5600.0,8,3,0,1
PAC_00227,Pudahuel,perro,0,1.5,consulta_general,diabetes,VET_07,28200,3300.0,50,3,1,1
PAC_00228,La_Florida,perro,0,6.1,consulta_general,dermatitis,VET_08,27400,7300.0,258,4,0,0
PAC_01221,La_Florida,perro,0,0.7,cirugía,diabetes_c,VET_18,254700,61300.0,24,3,1,1
PAC_00230,Maipú,perro,1,18.0,venta_producto,fractura,VET_07,21700,5300.0,24,1,1,0
PAC_00231,Las_Condes,perro,1,0.5,consulta_general,otitis_c,VET_15,34800,5800.0,0,4,1,1
PAC_00232,Providencia,exótico,0,18.0,cirugía,Artritis,VET_10,182500,30400.0,51,3,1,1
PAC_00384,Maipú,perro,1,10.8,cirugía,Artritis,VET_21,150000,48900.0,64,5,0,0
PAC_00234,Ñuñoa,gato,0,7.4,consulta_especialidad,otítís,VET_03,62000,18000.0,16,4,1,1
PAC_00853,La_Florida,gato,1,0.8,consulta_general,gastroenteritis_c,VET_10,46700,8000.0,33,4,1,1
PAC_00236,Las_Condes,perro,1,2.8,hospitalización,fractura,VET_21,138400,,131,7,1,1
PAC_00237,La_Florida,exótico,1,3.6,consulta_general,gastroenteritis_c,VET_14,26900,7500.0,150,4,1,0
PAC_00238,La_Florida,gato,0,2.1,venta_producto,dermatítís,VET_23,45100,9300.0,10,5,0,0
PAC_00301,Maipú,perro,1,18.0,consulta_especialidad,control_rutína,VET_20,55100,11100.0,7,8,1,1
PAC_00240,La_Florida,perro,0,0.6,consulta_general,TUMOR,VET_02,28600,9500.0,32,6,1,1
PAC_00241,Providencia,perro,0,1.4,consulta_general,PARVOVIRUS,VET_21,45300,11300.0,139,4,0,0
